id,envios,ventas
3a0edfe2-b145-4f83-a62a-d6b11dab1043,154,66
f34b9869-202d-4ba6-a531-d7a3d5aea57e,66,44
846f9ce6-8332-4efc-b113-b94b14e03c7e,110,44
68e5d8c9-0142-4a99-aefe-7beb67d6936c,44,22
ee94d901-7148-466a-a700-ab67052b17a2,44,22
011fb566-87a5-4c3e-84a0-8606073291e7,902,396
18549b7f-c083-4759-8d4f-f0136eda5a09,748,374
6f49ad4c-14a4-40bd-94d8-5f4e9e9bfb21,484,220
a64556ba-bed4-4554-9780-b5fa5169751b,506,242
76b5e960-2ac4-4823-9a8c-19b1002ab3bd,330,110
fc80f3fb-ce6c-42b7-a3bc-2c29718ab336,176,110
ec2ae963-ca76-4a2c-991f-3824b950f627,704,286
f6e61c84-a9df-4a7b-81a0-fbd2ed81b00e,1275,286
de0e0843-8f25-47fb-a203-b2f0d143fd82,396,176
0e17e5dc-530c-4c7c-8d02-eda6ab1d8ea1,550,176
5fc56e28-077e-454f-a9ab-dafb30716143,220,88
76487f34-192d-49bc-92c1-0044b5ce8c3f,198,88
8199213a-2153-440e-b90c-42f3eac7cd0e,968,330
3b83771d-a109-4acb-8155-bfd7dc1b0d04,1056,374
c08882a9-4bb4-47cd-89db-f289d9966852,638,264
6efd51b4-4b8c-4be1-bc43-84a2b487f8bf,616,220
6fa0e15f-1800-470c-ba8f-d3e1db69cd69,440,88
e96b9407-27e6-4f16-b200-0b65c14aa443,308,44
40cfe3e5-b110-42d3-896b-c9a2dcfdf40a,1100,374
df6598ca-5dc1-4b0e-930c-0a681ac666a6,1188,396
31c5667f-6b2e-421b-aa81-e46a348b5979,880,198
73f94b63-1d08-473e-9e78-aefc13da564a,836,154
c3f21cfc-4513-4175-b97d-026c3ce52936,396,132
0bcd735f-1d78-4a3c-a350-393ac5bc3102,330,110
